idx,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.0325,0.0261,0.0219,0.0189,0.0165,0.0149,0.0134,0.0123,0.0112,0.0104,0.0097,0.0091,0.0085,0.008,0.0075,0.0073,0.0069,0.0065,0.0063,0.0058,0.0056,0.0055,0.0054,0.0052,0.0049,0.0048,0.0046,0.0045,0.0044,0.0043,0.0041,0.004,0.0039,0.0038,0.0008,0.000780488,0.000761905,0.000744186,0.000727273,0.000711111,0.000695652,0.000680851,0.002826728
2,0.1789,0.1392,0.1137,0.0941,0.0784,0.0671,0.0586,0.0511,0.0456,0.041,0.0371,0.0342,0.0316,0.0293,0.0273,0.0258,0.0243,0.0231,0.0219,0.0212,0.0198,0.0188,0.0179,0.0173,0.0166,0.016,0.0154,0.0148,0.0143,0.0139,0.0136,0.013,0.0126,0.0122,0.0026,0.002463415,0.002333333,0.002209302,0.002090909,0.001977778,0.001869565,0.001765957,0.004116269
3,0.2005,0.1597,0.1343,0.1183,0.102,0.0901,0.0792,0.0708,0.0629,0.056,0.0503,0.0451,0.0413,0.0374,0.0342,0.0317,0.0294,0.0274,0.0256,0.0243,0.0231,0.0219,0.0207,0.0196,0.0187,0.018,0.0172,0.0165,0.0159,0.0153,0.0147,0.0142,0.0137,0.0133,0.0076,0.006878049,0.006190476,0.005534884,0.004909091,0.004311111,0.00373913,0.003191489,0.00540581
4,0.218,0.1816,0.1537,0.1262,0.111,0.098,0.0873,0.0793,0.0724,0.0662,0.0608,0.0559,0.0509,0.0472,0.0428,0.04,0.0367,0.034,0.0322,0.0293,0.0274,0.0256,0.0244,0.0231,0.0219,0.0206,0.0196,0.0188,0.018,0.0172,0.0165,0.0159,0.0153,0.0147,0.0128,0.012195122,0.011619048,0.011162791,0.010909091,0.010666667,0.010434783,0.010212766,0.007737491
5,0.2131,0.1901,0.1595,0.1396,0.1192,0.1047,0.0917,0.0824,0.0754,0.0697,0.0647,0.0602,0.0552,0.0522,0.0482,0.0459,0.043,0.0403,0.0373,0.0346,0.0332,0.031,0.029,0.0272,0.0255,0.0243,0.0231,0.0217,0.0206,0.0197,0.0189,0.018,0.0173,0.0166,0.0152,0.014829268,0.01447619,0.014046512,0.013454545,0.012888889,0.012347826,0.011829787,0.008122199
6,0.157,0.1706,0.1645,0.1423,0.1252,0.1133,0.1017,0.0899,0.0798,0.0722,0.0665,0.0618,0.0586,0.0546,0.0503,0.0485,0.0457,0.0432,0.0408,0.0392,0.0367,0.035,0.0332,0.0315,0.0299,0.0283,0.0266,0.0253,0.0241,0.0228,0.0221,0.0206,0.0198,0.0189,0.0176,0.016878049,0.016190476,0.016,0.014909091,0.014311111,0.01373913,0.013191489,0.008506907
7,,0.1327,0.1374,0.1463,0.1294,0.115,0.1048,0.0956,0.0872,0.0788,0.0708,0.0645,0.0599,0.0558,0.0531,0.0492,0.0471,0.0449,0.0426,0.0409,0.0386,0.0368,0.0351,0.0334,0.0321,0.0307,0.0295,0.0282,0.0269,0.0257,0.0241,0.0235,0.0222,0.0215,0.0194,0.018560976,0.017761905,0.017,0.016272727,0.015644444,0.015304348,0.014978723,0.012125248
8,,,0.115,0.1127,0.1318,0.1168,0.1054,0.0967,0.0893,0.0826,0.0765,0.0701,0.0638,0.0584,0.0559,0.0508,0.048,0.0455,0.0433,0.0415,0.0397,0.038,0.0365,0.0349,0.0334,0.032,0.0307,0.0295,0.0283,0.0273,0.0263,0.0254,0.0247,0.0237,0.0212,0.020243902,0.019333333,0.018604651,0.018181818,0.017711111,0.017,0.016319149,0.013669432
9,,,,0.1016,0.0955,0.1132,0.1084,0.0976,0.0902,0.0834,0.0776,0.0726,0.068,0.0632,0.0579,0.0536,0.0499,0.0468,0.0442,0.0421,0.0401,0.0385,0.037,0.0357,0.0343,0.033,0.0318,0.0306,0.0295,0.0283,0.0273,0.0264,0.0255,0.0247,0.023,0.021926829,0.021333333,0.020697674,0.019818182,0.018977778,0.018173913,0.017404255,0.015213616
10,,,,,0.091,0.0845,0.0981,0.1017,0.0912,0.0841,0.0782,0.0736,0.0689,0.0647,0.0594,0.0575,0.0532,0.0494,0.0462,0.0434,0.0412,0.0392,0.0375,0.036,0.0346,0.0334,0.0323,0.0308,0.0302,0.0291,0.0274,0.0272,0.0263,0.0256,0.0248,0.024195122,0.023190476,0.022162791,0.021181818,0.020244444,0.019478261,0.01906383,0.015363896
11,,,,,,0.0824,0.076,0.0834,0.0934,0.0857,0.0788,0.0738,0.0695,0.0655,0.0612,0.0585,0.0557,0.0521,0.0492,0.0459,0.0431,0.0406,0.0385,0.0368,0.0352,0.0338,0.0327,0.0319,0.0305,0.0296,0.0288,0.0278,0.0269,0.0262,0.0272,0.02595122,0.024761905,0.023627907,0.022545455,0.022044444,0.021434783,0.020531915,0.015981463
12,,,,,,,0.0754,0.0698,0.0725,0.0849,0.0819,0.0743,0.07,0.0659,0.0618,0.0594,0.0558,0.0527,0.051,0.0479,0.0457,0.0429,0.0403,0.0381,0.0363,0.0346,0.0331,0.032,0.0308,0.0298,0.0292,0.028,0.0271,0.0265,0.0278,0.026902439,0.026047619,0.025302326,0.024727273,0.023644444,0.022608696,0.021617021,0.01659903
13,,,,,,,,0.0694,0.0647,0.0649,0.0766,0.0779,0.0712,0.0669,0.0629,0.0595,0.0563,0.0535,0.0516,0.0487,0.0471,0.0452,0.0427,0.0402,0.038,0.036,0.0343,0.0328,0.0315,0.0303,0.0294,0.0283,0.0275,0.0267,0.0284,0.027463415,0.026666667,0.025976744,0.025181818,0.024422222,0.023695652,0.023148936,0.016728176
